# Data source (extracted from Figure): econstor, "Stromverbrauch privater Haushalte in Deutschland: Eine ökonometrische Analyse", https://www.econstor.eu/handle/10419/116776
1 Occupant,1 Occupant,2 Occupants,2 Occupants,3 Occupants,3 Occupants,4+ Occupants,4+ Occupants
X,Y,X,Y,X,Y,X,Y
7440,3.95E-07,7440,3.01E-05,7440,5.51E-05,7440,6.94E-05
7470,4.12E-07,7470,2.97E-05,7470,5.39E-05,7470,6.93E-05
7500,5.09E-07,7500,2.94E-05,7500,5.26E-05,7500,6.94E-05
7530,6.49E-07,7530,2.91E-05,7530,5.18E-05,7530,6.95E-05
7560,7.97E-07,7560,2.86E-05,7560,5.04E-05,7560,6.95E-05
7590,9.26E-07,7590,2.81E-05,7590,4.89E-05,7590,6.94E-05
7620,1.01E-06,7620,2.75E-05,7620,4.80E-05,7620,6.91E-05
7650,1.19E-06,7650,2.69E-05,7650,4.71E-05,7650,6.85E-05
7680,1.36E-06,7680,2.63E-05,7680,4.56E-05,7680,6.79E-05
7710,1.43E-06,7710,2.56E-05,7710,4.40E-05,7710,6.72E-05
7740,1.59E-06,7740,2.50E-05,7740,4.23E-05,7740,6.64E-05
7770,1.74E-06,7770,2.44E-05,7770,4.08E-05,7770,6.58E-05
7800,1.78E-06,7800,2.37E-05,7800,3.91E-05,7800,6.50E-05
7830,1.78E-06,7830,2.30E-05,7830,3.84E-05,7830,6.46E-05
7860,1.78E-06,7860,2.23E-05,7860,3.69E-05,7860,6.42E-05
7890,1.78E-06,7890,2.14E-05,7890,3.52E-05,7890,6.38E-05
7920,1.78E-06,7920,2.06E-05,7920,3.40E-05,7920,6.33E-05
7950,1.78E-06,7950,1.96E-05,7950,3.28E-05,7950,6.28E-05
7980,1.79E-06,7980,1.88E-05,7980,3.20E-05,7980,6.20E-05
8010,1.95E-06,8010,1.80E-05,8010,3.12E-05,8010,6.12E-05
8040,2.31E-06,8040,1.73E-05,8040,3.03E-05,8040,6.04E-05
8070,2.56E-06,8070,1.68E-05,8070,2.95E-05,8070,5.96E-05
8100,2.71E-06,8100,1.61E-05,8100,2.87E-05,8100,5.88E-05
8130,2.97E-06,8130,1.54E-05,8130,2.83E-05,8130,5.82E-05
8160,3.21E-06,8160,1.46E-05,8160,2.80E-05,8160,5.77E-05
8190,3.34E-06,8190,1.38E-05,8190,2.77E-05,8190,5.75E-05
8220,3.38E-06,8220,1.31E-05,8220,2.75E-05,8220,5.72E-05
8250,3.35E-06,8250,1.24E-05,8250,2.73E-05,8250,5.67E-05
8280,3.28E-06,8280,1.18E-05,8280,2.69E-05,8280,5.62E-05
